Dataset,Noise,Variant,MAPE
Malaysia,5,Full-Model,3.7717280550170145
Malaysia,5,No-Causal,3.702454038502047
Malaysia,5,No-LSE,4.062679441848066
Malaysia,10,Full-Model,3.4923443407274144
Malaysia,10,No-Causal,4.8450732918984745
Malaysia,10,No-LSE,5.361028926081495
Malaysia,20,Full-Model,3.310080520524608
Malaysia,20,No-Causal,3.572720829643518
Malaysia,20,No-LSE,4.018797949282282
ISO-NE,5,Full-Model,1.52482516943984
ISO-NE,5,No-Causal,1.5351034196378512
ISO-NE,5,No-LSE,1.7009592844885906
ISO-NE,10,Full-Model,1.538744125797036
ISO-NE,10,No-Causal,1.5972951704568683
ISO-NE,10,No-LSE,1.6837843432450923
ISO-NE,20,Full-Model,1.4867107948642495
ISO-NE,20,No-Causal,1.5169605744371562
ISO-NE,20,No-LSE,1.7971841867491647
