Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
Malaysia,5,3,4.276543316095592,2384.985683477023,1817.1993815104167,0.971449077129364,1.616157054901123
Malaysia,5,4,3.6543141924628717,2122.7343750141094,1616.8123252326673,0.9773827195167542,0.4793398380279541
Malaysia,5,5,4.016012762304964,2200.6644535351884,1724.5790495325307,0.9756916165351868,0.5177252292633057
Malaysia,5,6,3.5091273460962786,2015.0239500580938,1538.2976527813353,0.9796197414398193,0.8574202060699463
Malaysia,5,7,3.2755937187372623,1932.4631303226458,1448.5853518293204,0.9812555909156799,1.13753342628479
Malaysia,5,8,3.222150970023908,1932.7141027689843,1420.1232603312842,0.9812507629394531,1.5920193195343018
Malaysia,6,3,4.068806448202676,2357.6288750820204,1771.9731151810108,0.9721003174781799,0.42520880699157715
Malaysia,6,4,3.454089639180368,2034.9657182186456,1543.220828530567,0.9792143702507019,0.45410728454589844
Malaysia,6,5,4.003598228985529,2193.8169261455228,1718.64266083931,0.9758426547050476,0.503939151763916
Malaysia,6,6,3.253293080162143,1879.4978872139386,1414.387707319416,0.9822690486907959,0.6543350219726562
Malaysia,6,7,3.186951703081673,1878.9950456943002,1406.942965814976,0.9822785258293152,1.3134915828704834
Malaysia,6,8,3.2350440331953787,1950.8863215173506,1439.8905489561987,0.980896532535553,1.8457627296447754
Malaysia,7,3,4.073132468542783,2355.940371611741,1772.255668598446,0.9721402525901794,0.4074254035949707
Malaysia,7,4,3.68983338817771,2123.861094094059,1627.9212479721652,0.9773586988449097,0.4551973342895508
Malaysia,7,5,3.9526112285792454,2178.20928510158,1698.8536957287397,0.976185142993927,0.49557995796203613
Malaysia,7,6,3.4777805116304537,1992.952924981822,1521.8582997139686,0.980063796043396,1.068652868270874
Malaysia,7,7,3.1538841683275534,1860.1397733937667,1391.1062358585211,0.9826323986053467,1.520690679550171
Malaysia,7,8,3.0461171418815938,1859.1316041539653,1345.5075723616803,0.9826512336730957,2.4060137271881104
Malaysia,8,3,4.214188963591221,2325.598236450601,1802.020960073002,0.9728532433509827,0.38493943214416504
Malaysia,8,4,3.458077335063129,2034.8346554416826,1543.8815757876537,0.9792170524597168,0.42066121101379395
Malaysia,8,5,3.9207604756273313,2159.4028118597635,1683.8721983862704,0.9765946269035339,0.49011731147766113
Malaysia,8,6,3.651901919469678,2031.498902478195,1568.7497932142248,0.9792851209640503,0.8696975708007812
Malaysia,8,7,3.053765245576316,1837.9223722213267,1356.5688463221481,0.9830448031425476,1.7169842720031738
Malaysia,8,8,2.961639324582628,1853.9393644601116,1324.684362192623,0.9827479720115662,2.739525079727173
Malaysia,9,3,3.998805138803613,2320.5514679226058,1737.8354091956967,0.9729709029197693,0.4021618366241455
Malaysia,9,4,3.4504992625758844,2029.319243020306,1539.5547968963456,0.9793295860290527,0.4480626583099365
Malaysia,9,5,3.915224115690393,2156.64610702456,1681.19740837389,0.9766542911529541,0.5148756504058838
Malaysia,9,6,3.644818880778248,2029.7184239749117,1566.0487120581454,0.9793214201927185,0.9656352996826172
Malaysia,9,7,3.2976684612432146,1908.4061004746143,1448.650265219433,0.9817193746566772,1.7195613384246826
Malaysia,9,8,3.1399824548744224,1897.9173346700488,1385.0314647903858,0.9819197654724121,3.7058517932891846
Malaysia,10,3,4.000870809420396,2320.477010765498,1738.4453098317965,0.9729726314544678,0.3840320110321045
