Dataset,Noise_Level,MAPE,RMSE
Malaysia,0,2.8256399033993915,1797.8880447737188
Malaysia,5,3.6443645793481814,2247.119807562151
Malaysia,10,6.893841141733002,4058.9590901010133
Malaysia,15,13.216144073860656,7748.156045824154
Malaysia,20,21.203192358039736,13196.78324449612
ISO-NE,0,1.3242315279013765,240.60678932288704
ISO-NE,5,1.4709026855421456,263.9841173246579
ISO-NE,10,1.833471114647618,329.60703362395515
ISO-NE,15,2.476614009187121,468.01072038926935
ISO-NE,20,3.1383499181764245,607.6612255792453
